sample_id	cluster	subcluster_l2	fastbaps_level1_raw	fastbaps_level2_raw
SAMD01229182	A-C06	A-C06.1	14	76
SAMD01229222	A-C06	A-C06.1	14	76
SAMD01229186	A-C06	A-C06.1	14	76
SAMD00250060	A-C06	A-C06.1	14	76
SAMD00034391	A-C06	A-C06.1	14	76
SAMD01229224	A-C06	A-C06.1	14	76
SAMD01229235	A-C06	A-C06.1	14	76
SAMD01229185	A-C06	A-C06.1	14	76
SAMD01229173	A-C06	A-C06.1	14	76
SAMD01229172	A-C06	A-C06.1	14	76
RS1066	A-C06	A-C06.1	14	76
RS1157	A-C06	A-C06.1	14	76
RS04	A-C06	A-C06.1	14	76
RS755	A-C06	A-C06.1	14	76
RS609	A-C06	A-C06.1	14	76
SAMN05879716	A-C06	A-C06.1	14	76
RS152	A-C06	A-C06.1	14	76
leXnDF_12_31	A-C06	A-C06.1	14	76
RS182	A-C06	A-C06.1	14	76
SAMN14683366	A-C06	A-C06.1	14	76
SAMN03837633	A-C06	A-C06.5	14	73
HP_1_3	A-C06	A-C06.5	14	73
RS1192	A-C06	A-C06.5	14	73
RS34	A-C06	A-C06.4	14	75
RS401	A-C06	A-C06.4	14	75
RS19	A-C06	A-C06.4	14	75
RS740	A-C06	A-C06.4	14	75
SAMN13503718	A-C06	A-C06.6	14	77
SAMN32399500	A-C03	A-C03.1	23	136
SAMD00250062	A-C09	A-C09.1	17	94
SAMD00250059	A-C09	A-C09.1	17	94
SAMN44820520	A-C09	A-C09.1	17	94
SAMN46987991	A-C09	A-C09.1	17	94
SAMN46988003	A-C09	A-C09.1	17	94
SAMN46988005	A-C09	A-C09.1	17	94
SAMN46988004	A-C09	A-C09.1	17	94
SAMN46987999	A-C09	A-C09.1	17	94
SAMN16125482	A-C09	A-C09.3	17	95
SAMN16125470	A-C09	A-C09.5	17	97
SAMN47071781	A-C09	A-C09.6	17	98
SAMN16125477	A-C09	A-C09.4	17	96
SAMN46987996	A-C09	A-C09.1	17	94
SAMN46988016	A-C09	A-C09.1	17	94
SAMN46988000	A-C09	A-C09.1	17	94
SAMN46987997	A-C09	A-C09.1	17	94
SAMN46987989	A-C09	A-C09.1	17	94
SAMN46987990	A-C09	A-C09.1	17	94
SAMN57364252	A-C09	A-C09.1	17	94
SAMD00250058	A-C09	A-C09.1	17	94
SAMD00256262	A-C09	A-C09.1	17	94
SAMN48995533	A-C09	A-C09.1	17	94
SAMN48955999	A-C09	A-C09.1	17	94
SAMN57364250	A-C09	A-C09.1	17	94
SAMN03765658	A-C09	A-C09.1	17	94
SAMN57364248	A-C09	A-C09.1	17	94
SAMN46987988	A-C09	A-C09.2	17	93
SAMN46987995	A-C09	A-C09.2	17	93
SAMN46987982	A-C09	A-C09.2	17	93
SAMN46988017	A-C09	A-C09.2	17	93
SAMN46988018	A-C09	A-C09.2	17	93
SAMN46987985	A-C09	A-C09.2	17	93
SAMN44366232	A-C09	A-C09.1	17	94
SAMN44467445	A-C09	A-C09.1	17	94
SAMN56533517	A-C09	A-C09.1	17	94
SAMN57364249	A-C09	A-C09.1	17	94
SAMD00256263	A-C09	A-C09.1	17	94
SAMN46987987	A-C03	A-C03.1	23	136
SAMN22612257	A-C03	A-C03.8	23	126
SAMN22612378	A-C03	A-C03.8	23	126
SAMN22612383	A-C03	A-C03.8	23	126
SAMN21855741	A-C03	A-C03.8	23	126
SAMN24702282	A-C03	A-C03.1	23	136
SAMN02999387	A-C18	A-C18.7	15	84
SAMN22170845	A-C03	A-C03.2	23	129
SAMN21906701	A-C03	A-C03.2	23	129
SAMN44820501	A-C03	A-C03.2	23	129
SAMN44820510	A-C03	A-C03.2	23	129
SAMN36447502	A-C03	A-C03.2	23	129
RS732	A-C03	A-C03.2	23	129
RS472	A-C03	A-C03.2	23	129
RS724	A-C03	A-C03.2	23	129
RS469	A-C03	A-C03.2	23	129
SAMN22612298	A-C03	A-C03.2	23	129
RS783	A-C03	A-C03.2	23	129
RS115	A-C03	A-C03.2	23	129
RS116	A-C03	A-C03.2	23	129
RS1121	A-C03	A-C03.1	23	136
RS1058	A-C03	A-C03.5	23	131
SAMN21906699	A-C03	A-C03.5	23	131
RS1239	A-C03	A-C03.5	23	131
RS559	A-C03	A-C03.5	23	131
SAMN24896226	A-C03	A-C03.5	23	131
SAMN19546226	A-C03	A-C03.5	23	131
RS788	A-C03	A-C03.5	23	131
RS430	A-C03	A-C03.1	23	136
SAMN45624581	A-C03	A-C03.4	23	130
SAMN45624672	A-C03	A-C03.4	23	130
SAMN45624616	A-C03	A-C03.4	23	130
SAMN45624574	A-C03	A-C03.4	23	130
SAMN45624671	A-C03	A-C03.4	23	130
SAMN45624615	A-C03	A-C03.4	23	130
SAMN45624617	A-C03	A-C03.4	23	130
SAMN45624666	A-C03	A-C03.4	23	130
SAMN21855739	A-C03	A-C03.1	23	136
SAMN21855740	A-C03	A-C03.1	23	136
SAMN36081901	A-C11	A-C11.3	20	114
SAMN36081925	A-C11	A-C11.3	20	114
SAMN36081905	A-C11	A-C11.3	20	114
SAMN36081904	A-C11	A-C11.3	20	114
SAMN36081922	A-C11	A-C11.3	20	114
SAMN36081916	A-C11	A-C11.3	20	114
SAMN48210614	A-C11	A-C11.3	20	114
SAMN48210615	A-C11	A-C11.7	20	115
SAMN02602917	A-C11	A-C11.4	20	111
SAMN36081910	A-C11	A-C11.4	20	111
SAMN36081917	A-C11	A-C11.4	20	111
SAMN36081911	A-C11	A-C11.4	20	111
SAMN48191345	A-C11	A-C11.4	20	111
SAMN36081914	A-C03	A-C03.1	23	136
SAMN36081915	A-C03	A-C03.1	23	136
SAMN36081903	A-C03	A-C03.1	23	136
SAMN36081902	A-C03	A-C03.1	23	136
SAMN22612282	A-C11	A-C11.6	20	109
SAMN22612295	A-C11	A-C11.6	20	109
SAMN47993902	A-C11	A-C11.5	20	112
SAMN44820497	A-C11	A-C11.5	20	112
SAMN48075520	A-C11	A-C11.5	20	112
SAMN45624623	A-C11	A-C11.2	20	113
SAMN45624620	A-C11	A-C11.2	20	113
SAMN45624622	A-C11	A-C11.2	20	113
SAMN45624618	A-C11	A-C11.2	20	113
SAMN45624621	A-C11	A-C11.2	20	113
SAMN40440914	A-C11	A-C11.2	20	113
SAMN40440912	A-C11	A-C11.2	20	113
SAMN48977310	A-C11	A-C11.2	20	113
SAMN36081909	A-C11	A-C11.1	20	110
SAMN36081920	A-C11	A-C11.1	20	110
SAMN36081921	A-C11	A-C11.1	20	110
SAMN36081912	A-C11	A-C11.1	20	110
SAMN36081913	A-C11	A-C11.1	20	110
SAMN36081907	A-C11	A-C11.1	20	110
SAMN36081906	A-C11	A-C11.1	20	110
SAMN36081908	A-C11	A-C11.1	20	110
SAMN47993903	A-C03	A-C03.7	23	127
SAMN46987993	A-C03	A-C03.7	23	127
SAMN46987994	A-C03	A-C03.7	23	127
SAMN36081919	A-C03	A-C03.7	23	127
SAMN36081918	A-C03	A-C03.7	23	127
SAMN06610220	A-C03	A-C03.1	23	136
SAMN48210616	A-C03	A-C03.1	23	136
SAMN44820516	A-C03	A-C03.1	23	136
SAMN20308689	A-C03	A-C03.1	23	136
SAMN48085513	A-C16	A-C16.1	11	53
SAMN22612381	A-C16	A-C16.2	11	54
SAMN28078154	A-C16	A-C16.4	11	56
SAMN28078148	A-C16	A-C16.3	11	55
SAMN22612351	A-C16	A-C16.1	11	53
SAMN16125442	A-C16	A-C16.1	11	53
SAMN35347197	A-C16	A-C16.1	11	53
SAMN22612349	A-C16	A-C16.1	11	53
SAMN03765174	A-C16	A-C16.1	11	53
SAMN48085514	A-C16	A-C16.1	11	53
SAMN48085505	A-C16	A-C16.1	11	53
SAMN48085504	A-C16	A-C16.1	11	53
SAMN48085510	A-C16	A-C16.1	11	53
SAMN48085508	A-C16	A-C16.1	11	53
SAMN48085509	A-C16	A-C16.1	11	53
SAMN13348487	A-C16	A-C16.1	11	53
SAMN22612382	A-C16	A-C16.1	11	53
SAMN48085512	A-C16	A-C16.1	11	53
SAMN48085511	A-C16	A-C16.1	11	53
SAMN46987983	A-C03	A-C03.11	23	134
SAMN46987986	A-C03	A-C03.11	23	134
SAMN45624269	A-C01	A-C01.2	12	57
SAMN45624345	A-C01	A-C01.2	12	57
SAMN45624262	A-C01	A-C01.2	12	57
SAMN45624315	A-C01	A-C01.2	12	57
SAMN45624364	A-C01	A-C01.2	12	57
SAMN45624376	A-C01	A-C01.2	12	57
SAMN45624371	A-C01	A-C01.2	12	57
SAMN45624205	A-C01	A-C01.2	12	57
SAMN45624361	A-C01	A-C01.2	12	57
SAMN22612373	A-C01	A-C01.2	12	57
SAMN45624297	A-C01	A-C01.2	12	57
SAMN45624576	A-C01	A-C01.2	12	57
SAMN22612299	A-C01	A-C01.2	12	57
SAMN45624349	A-C01	A-C01.1	12	60
SAMN45624372	A-C01	A-C01.1	12	60
SAMN45624354	A-C01	A-C01.1	12	60
SAMN28078152	A-C01	A-C01.1	12	60
SAMN45624418	A-C01	A-C01.2	12	57
SAMN45624273	A-C01	A-C01.1	12	60
SAMN45624293	A-C01	A-C01.1	12	60
SAMN45624275	A-C01	A-C01.2	12	57
SAMN45624335	A-C01	A-C01.2	12	57
SAMN45624309	A-C01	A-C01.2	12	57
SAMN45624292	A-C01	A-C01.2	12	57
SAMN45624279	A-C01	A-C01.2	12	57
SAMN45624301	A-C01	A-C01.2	12	57
SAMN45624286	A-C01	A-C01.7	12	63
SAMN45624416	A-C01	A-C01.2	12	57
SAMN45624457	A-C01	A-C01.2	12	57
SAMN45624302	A-C01	A-C01.2	12	57
SAMN45624468	A-C01	A-C01.2	12	57
SAMN45624261	A-C01	A-C01.2	12	57
SAMN45624296	A-C01	A-C01.2	12	57
SAMN45624284	A-C01	A-C01.2	12	57
SAMN45624295	A-C01	A-C01.1	12	60
SAMN45624561	A-C01	A-C01.1	12	60
SAMN45624473	A-C01	A-C01.1	12	60
SAMN45624363	A-C01	A-C01.1	12	60
SAMN45624427	A-C01	A-C01.1	12	60
SAMN45624459	A-C01	A-C01.1	12	60
SAMN45624475	A-C01	A-C01.1	12	60
SAMN45624498	A-C01	A-C01.1	12	60
SAMN45624503	A-C01	A-C01.1	12	60
SAMN45624445	A-C01	A-C01.1	12	60
SAMN45624268	A-C01	A-C01.1	12	60
SAMN45624379	A-C01	A-C01.1	12	60
SAMN45624230	A-C01	A-C01.1	12	60
SAMN45624353	A-C01	A-C01.1	12	60
SAMN45624532	A-C01	A-C01.1	12	60
SAMN45624428	A-C01	A-C01.1	12	60
SAMN45624327	A-C01	A-C01.1	12	60
SAMN45624321	A-C01	A-C01.1	12	60
SAMN45624474	A-C01	A-C01.1	12	60
SAMN45624334	A-C01	A-C01.1	12	60
SAMN45624471	A-C01	A-C01.1	12	60
SAMN45624464	A-C01	A-C01.1	12	60
SAMN45624558	A-C01	A-C01.1	12	60
SAMN45624407	A-C01	A-C01.1	12	60
SAMN45624342	A-C01	A-C01.1	12	60
SAMN45624453	A-C01	A-C01.4	12	61
SAMN45624281	A-C01	A-C01.4	12	61
SAMN22612337	A-C01	A-C01.4	12	61
SAMN45624368	A-C01	A-C01.4	12	61
SAMN45624259	A-C01	A-C01.4	12	61
SAMN45624500	A-C01	A-C01.4	12	61
SAMN45624543	A-C01	A-C01.4	12	61
SAMN45624258	A-C01	A-C01.4	12	61
SAMN45624469	A-C01	A-C01.4	12	61
SAMN45624227	A-C01	A-C01.4	12	61
SAMN45624367	A-C01	A-C01.4	12	61
SAMN45624454	A-C01	A-C01.4	12	61
SAMN45624356	A-C01	A-C01.4	12	61
SAMN45624417	A-C01	A-C01.4	12	61
SAMN45624504	A-C01	A-C01.4	12	61
SAMN45624533	A-C01	A-C01.4	12	61
SAMN45624431	A-C01	A-C01.4	12	61
SAMN45624496	A-C01	A-C01.4	12	61
SAMN45624388	A-C01	A-C01.4	12	61
SAMN45624347	A-C01	A-C01.4	12	61
SAMN45624396	A-C01	A-C01.4	12	61
SAMN45624463	A-C01	A-C01.4	12	61
SAMN45624499	A-C01	A-C01.4	12	61
SAMN45624264	A-C01	A-C01.3	12	59
SAMN45624436	A-C01	A-C01.3	12	59
SAMN45624426	A-C01	A-C01.3	12	59
SAMN45624487	A-C01	A-C01.3	12	59
SAMN45624340	A-C01	A-C01.3	12	59
SAMN45624486	A-C01	A-C01.3	12	59
SAMN45624538	A-C01	A-C01.3	12	59
SAMN45624506	A-C01	A-C01.3	12	59
SAMN45624497	A-C01	A-C01.3	12	59
SAMN45624325	A-C01	A-C01.3	12	59
SAMN45624389	A-C01	A-C01.3	12	59
SAMN45624338	A-C01	A-C01.3	12	59
SAMN45624541	A-C01	A-C01.3	12	59
SAMN45624399	A-C01	A-C01.3	12	59
SAMN45624577	A-C01	A-C01.3	12	59
SAMEA118939735	A-C01	A-C01.3	12	59
SAMEA3138192	A-C01	A-C01.3	12	59
SAMN07187861	A-C01	A-C01.3	12	59
SAMN45624362	A-C01	A-C01.3	12	59
SAMN22612284	A-C01	A-C01.3	12	59
SAMN43269453	A-C01	A-C01.3	12	59
SAMN32543030	A-C01	A-C01.3	12	59
SAMN43269448	A-C01	A-C01.3	12	59
RS627	A-C01	A-C01.3	12	59
HD_13	A-C01	A-C01.3	12	59
SAMN22612300	A-C01	A-C01.6	12	62
SAMN51336171	A-C01	A-C01.5	12	58
SAMN44820496	A-C01	A-C01.5	12	58
SAMN43269452	A-C01	A-C01.5	12	58
SAMN38366938	A-C17	A-C17.1	6	24
SAMN38366939	A-C17	A-C17.1	6	24
SAMN38366941	A-C17	A-C17.1	6	24
SAMN38366948	A-C17	A-C17.1	6	24
SAMN38366934	A-C17	A-C17.4	6	27
SAMN38366933	A-C17	A-C17.8	6	31
SAMN38366945	A-C17	A-C17.6	6	29
SAMN21855736	A-C17	A-C17.7	6	30
SAMN38366935	A-C17	A-C17.1	6	24
SAMN38366936	A-C17	A-C17.1	6	24
SAMN38366946	A-C17	A-C17.2	6	25
SAMN38366943	A-C17	A-C17.2	6	25
SAMN38366942	A-C17	A-C17.2	6	25
SAMN38366937	A-C17	A-C17.5	6	28
SAMN38366947	A-C17	A-C17.3	6	26
SAMN38366940	A-C17	A-C17.3	6	26
SAMN38366944	A-C17	A-C17.3	6	26
SAMN43909937	A-C03	A-C03.3	23	135
SAMN43909931	A-C03	A-C03.3	23	135
SAMN43909832	A-C03	A-C03.3	23	135
RS1255	A-C03	A-C03.3	23	135
RS1250	A-C03	A-C03.3	23	135
SAMN44820502	A-C03	A-C03.3	23	135
SAMN44820511	A-C03	A-C03.3	23	135
SAMN40440919	A-C03	A-C03.3	23	135
SAMN43269449	A-C03	A-C03.3	23	135
SAMN43269446	A-C03	A-C03.3	23	135
RS1077	A-C03	A-C03.1	23	136
ssl_7	A-C03	A-C03.1	23	136
SAMN16125444	A-C21	A-C21.2	8	36
SAMN16125434	A-C21	A-C21.3	8	37
SAMN47071776	A-C21	A-C21.5	8	39
SAMN16125439	A-C21	A-C21.4	8	38
SAMN16125440	A-C21	A-C21.8	8	42
SAMN47071782	A-C21	A-C21.7	8	41
SAMN16125478	A-C21	A-C21.6	8	40
SAMN46988002	A-C21	A-C21.1	8	35
SAMN46987998	A-C21	A-C21.1	8	35
SAMN43269447	A-C21	A-C21.1	8	35
SAMN46987978	A-C13	A-C13.3	3	15
SAMN46987974	A-C13	A-C13.3	3	15
SAMN46987975	A-C13	A-C13.3	3	15
SAMN46987980	A-C13	A-C13.3	3	15
SAMN46987976	A-C13	A-C13.1	3	16
SAMN02444146	A-C13	A-C13.1	3	16
SAMN46988008	A-C13	A-C13.1	3	16
SAMN46988007	A-C13	A-C13.1	3	16
SAMN46988015	A-C13	A-C13.1	3	16
SAMN46987981	A-C13	A-C13.1	3	16
SAMN46987979	A-C13	A-C13.1	3	16
SAMN46988021	A-C13	A-C13.1	3	16
SAMN46987977	A-C13	A-C13.1	3	16
SAMN46987973	A-C13	A-C13.3	3	15
SAMN46988020	A-C13	A-C13.2	3	18
SAMN46988019	A-C13	A-C13.3	3	15
SAMN46988013	A-C13	A-C13.2	3	18
SAMN46988012	A-C13	A-C13.2	3	18
SAMN46988010	A-C13	A-C13.2	3	18
SAMN46988009	A-C13	A-C13.2	3	18
SAMN46988014	A-C13	A-C13.2	3	18
SAMN46988011	A-C13	A-C13.2	3	18
SAMN46987992	A-C13	A-C13.2	3	18
SAMN41796063	A-C13	A-C13.4	3	17
SAMN16125465	A-C13	A-C13.4	3	17
SAMN46988006	A-C13	A-C13.4	3	17
SAMN22367847	A-C03	A-C03.1	23	136
SAMN02152298	A-C03	A-C03.1	23	136
SAMN40440904	A-C12	A-C12.1	13	64
SAMN40440916	A-C12	A-C12.1	13	64
SAMN40440906	A-C12	A-C12.1	13	64
SAMN40440902	A-C12	A-C12.1	13	64
SAMN40440917	A-C12	A-C12.1	13	64
SAMN40440913	A-C12	A-C12.1	13	64
SAMN16125450	A-C12	A-C12.2	13	65
SAMN47071777	A-C12	A-C12.3	13	66
SAMN16125436	A-C12	A-C12.6	13	69
SAMN16125437	A-C12	A-C12.5	13	68
SAMN16125435	A-C12	A-C12.4	13	67
SAMN16125438	A-C12	A-C12.7	13	70
SAMN16125433	A-C12	A-C12.8	13	71
SAMN40440918	A-C12	A-C12.1	13	64
SAMN22612379	A-C12	A-C12.1	13	64
SAMN40440909	A-C12	A-C12.1	13	64
SAMN40440905	A-C12	A-C12.1	13	64
SAMN40440907	A-C12	A-C12.1	13	64
SAMN40440915	A-C12	A-C12.1	13	64
SAMN40440908	A-C12	A-C12.1	13	64
SAMN40440920	A-C12	A-C12.1	13	64
SAMN40440910	A-C12	A-C12.1	13	64
SAMN40440911	A-C12	A-C12.1	13	64
SAMN40440903	A-C12	A-C12.1	13	64
SAMN43269450	A-C12	A-C12.1	13	64
SAMN43269451	A-C12	A-C12.1	13	64
SAMN16125517	A-C12	A-C12.1	13	64
SAMN39646430	A-C12	A-C12.1	13	64
SAMN57364251	A-C12	A-C12.1	13	64
SAMN44820515	A-C12	A-C12.1	13	64
SAMN49812370	A-C12	A-C12.1	13	64
SAMN21855738	A-C03	A-C03.9	23	132
SAMN21855734	A-C03	A-C03.9	23	132
SAMN21855737	A-C03	A-C03.9	23	132
SAMN21855735	A-C03	A-C03.9	23	132
SAMN16125516	A-C15	A-C15.2	1	1
SAMN22612359	A-C15	A-C15.2	1	1
SAMN61800725	A-C15	A-C15.1	1	2
SAMN61800724	A-C15	A-C15.1	1	2
SAMN22612377	A-C15	A-C15.1	1	2
SAMN13348489	A-C15	A-C15.1	1	2
SAMN44820494	A-C15	A-C15.1	1	2
